property_name,property_code,report_date,unit_number,tenant_name,tenant_id,lease_type,area_sqft,lease_from_date,lease_to_date,term_months,tenancy_years,monthly_rent,monthly_rent_per_sf,annual_rent,annual_rent_per_sf,security_deposit,loc_bank_guarantee,is_vacant,notes
,ESP,2025-04-30,106,"CEJR Health
Services, LLC
(t0000490)",,Retail NNN,1800.0,2020-03-05,2025-06-30,64,,3300.0,,,,,,False,
,ESP,2025-04-30,108,"Sport Clips /
AMJaCo
(t0000300)",,Retail NNN,1600.0,2013-01-01,,,,2581.33,,,,,,False,
,ESP,2025-04-30,110,"Petsmart, Inc.",t0000301,Retail NNN,20087.0,2005-09-12,2025-09-30,241,,22179.4,,,,,,False,
,ESP,2025-04-30,120,"Michaels Stores,
Inc. (t0000302)",,Retail NNN,21360.0,2005-09-01,2027-08-31,264,,20025.0,,,,,,False,
,ESP,2025-04-30,130,"Best Buy Stores,
L.P. (t0000303)",,Retail NNN,30981.0,2005-06-10,2031-03-31,310,,32271.88,,,,,,False,
,ESP,2025-04-30,140,"Ross Dress For
Less, Inc. #0852
(t0000304)",,Retail NNN,30187.0,2005-10-01,2031-01-31,304,,27294.08,,,,,,False,
,ESP,2025-04-30,150,"Old Navy, LLC",t0000305,Retail NNN,18982.0,2005-07-27,2030-07-31,301,,12673.83,,,,,,False,
,ESP,2025-04-30,160,"Cost Plus #6264 /
World Market
(t0000306)",,Retail NNN,18230.0,2006-02-01,2027-01-31,252,,10634.17,,,,,,False,
,ESP,2025-04-30,170,"America's Best /
National Vision,
Inc. (t0000677)",,Retail NNN,3500.0,2022-12-02,2032-12-31,121,,5395.83,,,,,,False,
,ESP,2025-04-30,180,"Dollar Tree
Stores, lnc. #3033
(t0000308)",,Retail NNN,10000.0,2005-07-07,2030-07-31,301,,8750.0,,,,,,False,
,ESP,2025-04-30,200,"The OutPost
Enterprises LLC
(t0000492)",,Retail NNN,5000.0,2020-03-01,2030-05-31,123,,5625.0,,,,,,False,
,ESP,2025-04-30,210,"Turner Furniture
of Mobile, LLC
(t0000310)",,Retail NNN,45000.0,2006-09-01,2026-12-31,244,,21500.0,,,,,,False,
,ESP,2025-04-30,300,"Geaux Solo
Spanish Fort, LLC
(t0000367)",,Retail NNN,4468.0,2017-10-01,2033-01-31,184,,6850.0,,,,,,False,
,ESP,2025-04-30,"400, 402",Anytime Fitness,t0000943,Retail NNN,5900.0,2025-01-10,2032-01-31,85,,7382.5,,,,,,False,
,ESP,2025-04-30,406,"Doctor's Diet
Program of
Alabama, PLLC
(t0000311)",,Retail NNN,2100.0,2016-10-01,2026-12-31,123,,1925.0,,,,,,False,
,ESP,2025-04-30,500,"JS Wellness, LLC",t0000788,Retail NNN,3200.0,2023-07-20,2033-12-31,126,,7333.33,,,,,,False,
,ESP,2025-04-30,504,Phu V. Cat,t0000313,Retail NNN,1600.0,2006-06-15,2026-12-31,247,,2258.3,,,,,,False,
,ESP,2025-04-30,506,"Invictus Ventures,
LLC (t0000959)",,Retail NNN,1600.0,2024-12-08,2029-12-31,61,,3233.33,,,,,,False,
,ESP,2025-04-30,508,"Davis Coxwell &
Company, LLC.
(t0000315)",,Retail NNN,1600.0,2014-05-03,2027-05-31,157,,2533.33,,,,,,False,
,ESP,2025-04-30,A-10136,"The Sleep Center
of Lower
Alabama, LLC
(t0000353)",,Retail NNN,6000.0,2017-02-01,2025-12-31,107,,9900.0,,,,,,False,
,ESP,2025-04-30,B-10136,"Shades
Sunglasses &
Casual Apparel/
J&M LLC
(t0000354)",,Retail NNN,6000.0,2016-12-01,2026-12-31,121,,10000.0,,,,,,False,
,ESP,2025-04-30,100,VACANT,,,4500.0,,,,,,,,,,,True,
,ESP,2025-04-30,175,VACANT,,,4000.0,,,,,,,,,,,True,
,ESP,2025-04-30,600,VACANT,,,9660.0,,,,,,,,,,,True,
,ESP,2025-04-30,608,VACANT,,,12750.0,,,,,,,,,,,True,
