Account Code,Account Name,Occurrences,Avg Extraction Conf,First Year,Last Year,Properties,Potential Match in COA,Match Type
,UN-Used - FUTURE Use,16,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,Non-Cash (Adjustments),16,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,Escrow - Other,12,37.5,2023,2024,3,NO MATCH FOUND,MISSING
,Accumulated Amortisation,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,Accumulated Dep,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,Acquisitions Expense,8,37.5,2023,2024,4,6040-0000 - LL - Expense,FUZZY_NAME (82%)
,Acquisitions Software,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,Acquisition Surveys,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,Admin Fee Income,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,Advertising - Digital,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,Advertising - Other,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,Advertising - Printed Media,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,Anis Charnia,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,Answering Service,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,"A/P ALCOA HC, LP (Hamilton)",8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P Bartleslville,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P Boulevard (LA3),8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,"A/P Chalmette Mall, LP",8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P Com Realty (Do not Use),8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P CountryClub (LA3),8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P Crossing Center (LA3),8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,"A/P Desiard Plaza, LTD",8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P Dr. H S Azad,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P Eastern Shore Plaza,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P Fayette Pavilion,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P Frayser Center,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P Frayser Plaza,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P Frayser Village,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,"A/P GBP Partners, LTD",8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P Hammond Aire LP,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,"A/P Jackson CLP, LP",8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P Kabul M Singh,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P MarinaGate,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P MS Flowood,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,"A/P NMP SC Partners, LTD",8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,"A/P Oxford Exchange, LP",8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P Parkway (East),8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P PkwyFox (West),8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,"A/P Scott Oaks, LP",8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,"A/P TCSH, LLC",8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P Tenalok (Fr.Village),8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,"A/P The Tomball Center, Inc",8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P Threenotch Plaza,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P VS Creekside LP,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P Wendover Commons LP,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/P Wildwood Center LP,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,"A/R Alcoa HC, LP (Hamilton)",8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/R - Allowance for Doubtful,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/R Bartlesville,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
,A/R Blvd,8,37.5,2023,2024,4,NO MATCH FOUND,MISSING
